resource_id,resource_name,resource_url,description,format,type,runtime,subject_areas,authoring_organization,intended_audiences,content_soup
L00691080,2018 mesh highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2018.html,on january 5 2018 nlm staff provided highlights tour of the 2018 medical subject headings mesh 20 minute presentation featured deleted subheading new publication types isotope and radioisotope terminology updates additional terminology for viruses smoking and sugars and restructuring in the plant and animal terminology following the presentation indexing and mesh experts answered user questions,MP4 Video,webinar,21.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2018 mesh highlights on january 5 2018 nlm staff provided highlights tour of the 2018 medical subject headings mesh 20 minute presentation featured deleted subheading new publication types isotope and radioisotope terminology updates additional terminology for viruses smoking and sugars and restructuring in the plant and animal terminology following the presentation indexing and mesh experts answered user questions medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L000854112,2019 mesh highlights,https://www.nlm.nih.gov/bsd/disted/clinics/mesh_2019.html,on january 4 2019 nlm staff provided highlights tour of the 2019 medical subject headings mesh 20 minute presentation featured new publication types including systematic reviews three deleted subheadings and additional terminology for data neoplasms and more,MP4 Video,webinar,30.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2019 mesh highlights on january 4 2019 nlm staff provided highlights tour of the 2019 medical subject headings mesh 20 minute presentation featured new publication types including systematic reviews three deleted subheadings and additional terminology for data neoplasms and more medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L001321112,2020 mesh highlights,https://www.nlm.nih.gov/oet/ed/mesh/2020_mesh_highlights.html,on january 10 2020 sarah helson from the national library of medicine highlighted new and important changes for 2020 mesh 20 minute presentation included new publication type randomized controlled trial veterinary new mesh as topic headings and new tree structure for infections,MP4 Video,webinar,46.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2020 mesh highlights on january 10 2020 sarah helson from the national library of medicine highlighted new and important changes for 2020 mesh 20 minute presentation included new publication type randomized controlled trial veterinary new mesh as topic headings and new tree structure for infections medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L001961112,2021 mesh highlights,https://www.nlm.nih.gov/oet/ed/mesh/2021_mesh_highlights.html,every year updates are made to mesh the nlm controlled vocabulary thesaurus used for indexing articles for pubmed this annual webinar aims to introduce those changes and provide examples of how the changes may affect you as pubmed searcher for more information about mesh see the mesh homepage,MP4 Video,webinar,53.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2021 mesh highlights every year updates are made to mesh the nlm controlled vocabulary thesaurus used for indexing articles for pubmed this annual webinar aims to introduce those changes and provide examples of how the changes may affect you as pubmed searcher for more information about mesh see the mesh homepage medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L002741112,2022 mesh highlights,https://www.nlm.nih.gov/oet/ed/mesh/2022_mesh_highlights.html,on january 12 2022 louise to and panel of experts from the national library of medicine presented the webinar 2022 mesh highlights the webinar summarizes the changes for the 2022 mesh featuring examples of new and updated terminology related to covid 19 and other diseases social determinants of health and population groups,MP4 Video,webinar,53.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2022 mesh highlights on january 12 2022 louise to and panel of experts from the national library of medicine presented the webinar 2022 mesh highlights the webinar summarizes the changes for the 2022 mesh featuring examples of new and updated terminology related to covid 19 and other diseases social determinants of health and population groups medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L003801112,2023 mesh highlights,https://www.nlm.nih.gov/oet/ed/mesh/2023/mesh_highlights.html,on january 10 2023 louise to and panel of experts from the national library of medicine presented the webinar 2023 mesh highlights this webinar summarizes the changes for the 2023 mesh this presentation features examples of new and updated terminology followed by q session with nlm indexing and mesh experts,MP4 Video,webinar,56.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator developer,2023 mesh highlights on january 10 2023 louise to and panel of experts from the national library of medicine presented the webinar 2023 mesh highlights this webinar summarizes the changes for the 2023 mesh this presentation features examples of new and updated terminology followed by q session with nlm indexing and mesh experts medical subject headings mesh pubmed webinar everyone educator developer training team user engagement program
L005021112,2024 mesh highlights,https://www.nlm.nih.gov/oet/ed/mesh/2024/mesh-highlights.html,on january 10 2024 louise to and panel of experts from the national library of medicine presented the webinar 2024 mesh highlights this webinar summarizes the changes for the 2024 mesh this presentation features examples of new and updated terminology followed by q session with nlm indexing and mesh experts,HTML,webinar source page,55.0,medical subject headings mesh pubmed,training team user engagement program,everyone educator,2024 mesh highlights on january 10 2024 louise to and panel of experts from the national library of medicine presented the webinar 2024 mesh highlights this webinar summarizes the changes for the 2024 mesh this presentation features examples of new and updated terminology followed by q session with nlm indexing and mesh experts medical subject headings mesh pubmed webinar source page everyone educator training team user engagement program
L005241112,2024 modernized clinicaltrials gov update webinar,https://www.youtube.com/watch?v=rotNO8WVGLo,presented june 6 2024 this webinar provides updates on the clinicaltrials gov modernization effort and highlights features of the clinicaltrials gov website the moderated a session is included,MP4 Video,youtube video,50.0,clinicaltrials gov,clinicaltrials gov team ncbi,everyone educator,2024 modernized clinicaltrials gov update webinar presented june 6 2024 this webinar provides updates on the clinicaltrials gov modernization effort and highlights features of the clinicaltrials gov website the moderated a session is included clinicaltrials gov youtube video everyone educator clinicaltrials gov team ncbi
L005884112,5 steps to an accessible document,https://www.youtube.com/watch?v=_XEHxh6l6Es,this hands on 90 minute class will provide the basics of making powerpoint and word documents accessible to people who use screen readers,MP4 Video,youtube video,83.0,other consumer health,network of the national library of medicine,everyone,5 steps to an accessible document this hands on 90 minute class will provide the basics of making powerpoint and word documents accessible to people who use screen readers other consumer health youtube video everyone network of the national library of medicine
L004321112,biology student guide to finding organizing ncbi data for research projects,https://www.nlm.nih.gov/ncbi/workshops/2023-06_organizing-biology-data/workshop-details.html,all biology research projects involve finding relevant literature and identifying related biological information often high school or new undergraduate students need guidance on how to effectively search for helpful information for almost 35 years the ncbi has provided free access to high quality biological databases for the research community in addition we ve created tools to help organize selected literature and biological data records for quick and easy access,HTML,webinar source page,169.0,genetics and molecular biology my ncbi ncbi workshops,training team ncbi,everyone educator,biology student guide to finding organizing ncbi data for research projects all biology research projects involve finding relevant literature and identifying related biological information often high school or new undergraduate students need guidance on how to effectively search for helpful information for almost 35 years the ncbi has provided free access to high quality biological databases for the research community in addition we ve created tools to help organize selected literature and biological data records for quick and easy access genetics and molecular biology my ncbi ncbi workshops webinar source page everyone educator training team ncbi
